Start,Output
45.88,67.07773417
50.61,67.07773417
19.1,67.07773403
78.45,67.07773417
66.69,67.07773417
48.66,67.07773417
89.34,67.07773417
97.88,67.07773417
53.05,67.07773417
73.5,67.07773417
70.11,67.07773417
28.87,67.07773417
107.07,67.07773417
42.33,67.07773417
59.38,67.07773417
93.56,67.07773417
107.04,67.07773417
60.21,67.07773417
50.22,67.07773417
58.31,67.07773417
52.66,67.07773417
26.8,67.07773417
31.64,67.07773417
44.08,67.07773417
93.27,67.07773417
67.51,67.07773417
32.07,67.07773417
81.52,67.07773417
26.85,67.07773417
39.6,67.07773417
48.35,67.07773417
64.78,67.07773417
102.93,67.07773417
93.4,67.07773417
26.79,67.07773417
37.81,67.07773417
29.57,67.07773417
82.78,67.07773417
85.39,67.07773417
47.17,67.07773417
97.78,67.07773417
52.05,67.07773417
21.37,67.07773412
68.06,67.07773417
47.5,67.07773417
27.18,67.07773417
35.09,67.07773417
106.06,67.07773417
92.51,67.07773417
31.21,67.07773417
49.95,67.07773417
103.92,67.07773417
60.15,67.07773417
102.17,67.07773417
20.11,67.07773403
21.21,67.0777341
32.84,67.07773417
29.21,67.07773417
48.66,67.07773417
37.02,67.07773417
72.95,67.07773417
71.28,67.07773417
93.26,67.07773417
31.75,67.07773417
19.46,67.07773404
81.48,67.07773417
96.16,67.07773417
71.11,67.07773417
92.44,67.07773417
96.36,67.07773417
131.88,67.07773417
83.22,67.07773417
122.21,67.07773417
44.73,67.07773417
101.81,67.07773417
34.92,67.07773417
85.35,67.07773417
51.41,67.07773417
75.17,67.07773417
91.11,67.07773417
86.19,67.07773417
42.04,67.07773417
50.14,67.07773417
136.49,67.07773417
40.71,67.07773417
51.59,67.07773417
46.99,67.07773417
72.58,67.07773417
107.82,67.07773417
59.62,67.07773417
27.84,67.07773417
61.06,67.07773417
134.44,67.07773417
89.93,67.07773417
87.11,67.07773417
40.45,67.07773417
87.65,67.07773417
61.46,67.07773417
31.14,67.07773417
26.89,67.07773417
47.63,67.07773417
101.74,67.07773417
99.63,67.07773417
49.36,67.07773417
72.43,67.07773417
105.4,67.07773417
39.39,67.07773417
93.59,67.07773417
36.76,67.07773417
103.39,67.07773417
